"","solar.time","depth","DO.obs","DO.sat","temp.water","light","discharge"
"10628",2021-08-26 07:58:54,8.08,11.0609090909091,10.9763691567994,9.104,871.597272825792,84.3834064844967
"10629",2021-08-26 08:13:54,8.09,11.08,10.9817209301905,9.11863636363636,926.74469205243,84.6665722780688
"10630",2021-08-26 08:28:54,8.09,11.11,10.9813422875747,9.13754545454545,979.589312327392,84.6665722780688
"10631",2021-08-26 08:43:54,8.09,11.12,10.9924606749394,9.15209090909091,1029.90475312145,84.6665722780688
"10633",2021-08-26 09:13:54,8.09,11.15,10.9812820172324,9.19018181818182,1122.09767076428,84.6665722780688
"10634",2021-08-26 09:28:54,8.09,11.1718181818182,10.9586166955978,9.224,1163.58020293391,84.6665722780688
"10635",2021-08-26 09:43:54,8.09,11.1909090909091,10.9504294274293,9.24209090909091,1201.74535819232,84.6665722780688
"10636",2021-08-26 09:58:54,8.09,11.1945454545455,10.9439039782156,9.267,1236.42964086124,84.6665722780688
"10637",2021-08-26 10:13:54,8.09,11.2290909090909,10.9417922519834,9.30572727272727,1267.48446689788,84.6665722780688
"10638",2021-08-26 10:28:54,8.1,11.2372727272727,10.947015735442,9.32954545454546,1294.77680037449,85.2329038652131
"10640",2021-08-26 10:58:54,8.11,11.2645454545455,10.9272658480337,9.40954545454546,1337.62293718585,85.5160696587852
"10641",2021-08-26 11:13:54,8.1,11.27,10.9049558784609,9.425,1352.99319124727,85.2329038652131
"10642",2021-08-26 11:28:54,8.11,11.26,10.9084379569176,9.42918181818182,1364.23464055297,85.5160696587852
"10643",2021-08-26 11:43:54,8.11,11.28,10.9117326881505,9.45163636363636,1371.29912732841,85.5160696587852
"10645",2021-08-26 12:13:54,8.12,11.31,10.892065574446,9.49218181818182,1372.79418003032,86.0824012459295
"10646",2021-08-26 12:28:54,8.11,11.3072727272727,10.8977615267286,9.501,1367.21833998139,85.5160696587852
"10647",2021-08-26 12:43:54,8.11,11.31,10.8898734488019,9.51381818181818,1357.45275290851,85.5160696587852
"10648",2021-08-26 12:58:54,8.11,11.2954545454545,10.8906058617234,9.52418181818182,1343.53925285669,85.5160696587852
"10649",2021-08-26 13:13:54,8.12,11.3,10.8857657449618,9.53845454545455,1325.53744308823,86.0824012459295
"10650",2021-08-26 13:28:54,8.13,11.3190909090909,10.8755950114683,9.55572727272727,1303.52444075604,86.6487328330738
"10651",2021-08-26 13:43:54,8.13,11.33,10.8657821075711,9.58045454545455,1277.59454654127,86.6487328330738
"10652",2021-08-26 13:58:54,8.13,11.33,10.8562847775617,9.604,1247.85884071437,86.6487328330738
"10654",2021-08-26 14:28:54,8.14,11.3545454545455,10.8373424774947,9.651,1177.49528811902,86.9318986266459
"10655",2021-08-26 14:43:54,8.14,11.3572727272727,10.8271777081029,9.664,1137.16887018505,86.9318986266459
"10656",2021-08-26 14:58:54,8.14,11.33,10.8261395686067,9.67245454545455,1093.63820700501,86.9318986266459
"10658",2021-08-26 15:28:54,8.14,11.3554545454545,10.8136919941171,9.72090909090909,997.72299382637,86.9318986266459
"10659",2021-08-26 15:43:54,8.15,11.3627272727273,10.8117243960899,9.733,945.749333637081,87.4982302137902
"10660",2021-08-26 15:58:54,8.15,11.34,10.7998128538713,9.73963636363636,891.391447633988,87.4982302137902
"10661",2021-08-26 16:13:54,8.17,11.34,10.795774437977,9.74654545454545,834.882198995007,88.3477275945066
"10662",2021-08-26 16:28:54,8.16,11.3354545454545,10.7866833064589,9.74218181818182,776.463667158555,88.0645618009345
"10663",2021-08-26 16:43:54,8.16,11.31,10.7797013433899,9.734,716.386110830597,88.0645618009345
"10664",2021-08-26 16:58:54,8.18,11.2918181818182,10.7818926857578,9.721,654.906895859148,88.9140591816509
"10665",2021-08-26 17:13:54,8.19,11.3,10.7819260790779,9.712,592.28939272279,89.197224975223
"10668",2021-08-26 17:58:54,8.18,11.28,10.7808948363188,9.68054545454545,400.307093997758,88.9140591816509
"10669",2021-08-26 18:13:54,8.19,11.2609090909091,10.7753865892783,9.671,335.850342680298,89.197224975223
"10671",2021-08-26 18:43:54,8.17,11.23,10.774848527065,9.65090909090909,207.897540253726,88.3477275945066
"10672",2021-08-26 18:58:54,8.19,11.22,10.7736071074114,9.638,144.94962643009,89.197224975223
"10673",2021-08-26 19:13:54,8.19,11.21,10.7759864726439,9.62427272727273,83.0480302893737,89.197224975223
"10674",2021-08-26 19:28:54,8.18,11.18,10.7759751707888,9.611,22.4579323656323,88.9140591816509
"10675",2021-08-26 19:43:54,8.19,11.17,10.7760374878664,9.593,0,89.197224975223
"10676",2021-08-26 19:58:54,8.19,11.15,10.7781203069988,9.576,0,89.197224975223
"10677",2021-08-26 20:13:54,8.19,11.15,10.7824825959738,9.559,0,89.197224975223
"10679",2021-08-26 20:43:54,8.2,11.11,10.7869135466714,9.524,0,89.7635565623673
"10680",2021-08-26 20:58:54,8.2,11.09,10.7883763685838,9.505,0,89.7635565623673
"10681",2021-08-26 21:13:54,8.19,11.0863636363636,10.7894191890905,9.48763636363636,0,89.197224975223
"10682",2021-08-26 21:28:54,8.2,11.07,10.7953557494067,9.469,0,89.7635565623673
"10684",2021-08-26 21:58:54,8.2,11.0454545454545,10.7978279427237,9.42836363636364,0,89.7635565623673
"10685",2021-08-26 22:13:54,8.2,11.02,10.7938208211352,9.404,0,89.7635565623673
"10687",2021-08-26 22:43:54,8.21,11,10.784603429674,9.351,0,90.3298881495115
"10688",2021-08-26 22:58:54,8.21,11.0018181818182,10.7789189744073,9.32863636363636,0,90.3298881495115
"10689",2021-08-26 23:13:54,8.21,10.9809090909091,10.7712645704144,9.305,0,90.3298881495115
"10690",2021-08-26 23:28:54,8.21,10.9718181818182,10.7643260140465,9.283,0,90.3298881495115
"10691",2021-08-26 23:43:54,8.24,10.97,10.7666958455104,9.26045454545454,0,91.7457171173722
"10692",2021-08-26 23:58:54,8.22,10.96,10.772369446723,9.23845454545455,0,90.6130539430837
"10694",2021-08-27 00:28:54,8.23,10.9518181818182,10.790627917205,9.19,0,91.179385530228
"10695",2021-08-27 00:43:54,8.24,10.94,10.8018371586883,9.16445454545454,0,91.7457171173722
"10696",2021-08-27 00:58:54,8.23,10.9336363636364,10.8093254984164,9.14,0,91.179385530228
"10697",2021-08-27 01:13:54,8.24,10.93,10.814921250194,9.114,0,91.7457171173722
"10698",2021-08-27 01:28:54,8.23,10.9281818181818,10.825129070779,9.088,0,91.179385530228
"10699",2021-08-27 01:43:54,8.23,10.9272727272727,10.8255932407247,9.05963636363636,0,91.179385530228
"10700",2021-08-27 01:58:54,8.22,10.92,10.8300775395648,9.03354545454545,0,90.6130539430837
"10701",2021-08-27 02:13:54,8.25,10.91,10.8313355329253,9.011,0,92.0288829109444
"10702",2021-08-27 02:28:54,8.24,10.9118181818182,10.8325468693152,8.98863636363636,0,91.7457171173722
"10703",2021-08-27 02:43:54,8.23,10.9118181818182,10.839841130447,8.96509090909091,0,91.179385530228
"10704",2021-08-27 02:58:54,8.24,10.91,10.8456074254079,8.943,0,91.7457171173722
"10707",2021-08-27 03:43:54,8.24,10.91,10.8731491361097,8.87309090909091,0,91.7457171173722
"10708",2021-08-27 03:58:54,8.25,10.91,10.8817831983105,8.849,0,92.0288829109444
"10709",2021-08-27 04:13:54,8.26,10.91,10.8867355802809,8.82572727272727,0,92.5952144980886
"10710",2021-08-27 04:28:54,8.26,10.9118181818182,10.8955528288286,8.801,0,92.5952144980886
"10711",2021-08-27 04:43:54,8.27,10.91,10.9056112553926,8.776,49.2284947384704,92.8783802916608
"10712",2021-08-27 04:58:54,8.27,10.92,10.9165678196504,8.74763636363636,110.792176784912,92.8783802916608
"10713",2021-08-27 05:13:54,8.26,10.92,10.9270816786202,8.721,173.492861904157,92.5952144980886
"10714",2021-08-27 05:28:54,8.26,10.9209090909091,10.9403409260438,8.69281818181818,237.061945552387,92.5952144980886
"10715",2021-08-27 05:43:54,8.27,10.9327272727273,10.9520923868737,8.666,301.227102983463,92.8783802916608
"10716",2021-08-27 05:58:54,8.26,10.94,10.966083184956,8.63518181818182,365.713455797769,92.5952144980886
"10717",2021-08-27 06:13:54,8.26,10.95,10.9814994092797,8.60345454545454,430.244749599866,92.5952144980886
"10718",2021-08-27 06:28:54,8.28,10.9645454545455,10.9957744325102,8.57609090909091,494.54453738315,93.4447118788051
"10719",2021-08-27 06:43:54,8.28,10.9718181818182,11.0067626561606,8.548,558.337363823456,93.4447118788051
"10720",2021-08-27 06:58:54,8.26,10.99,11.016014459724,8.52209090909091,621.3499452927,92.5952144980886
"10721",2021-08-27 07:13:54,8.28,11,11.0226252292115,8.493,683.312340636053,93.4447118788051
"10722",2021-08-27 07:28:54,8.28,11.01,11.0237428951958,8.467,743.959107528617,93.4447118788051
"10723",2021-08-27 07:43:54,8.29,11.03,11.019015854169,8.441,803.030439615173,94.0110434659493
"10724",2021-08-27 07:58:54,8.28,11.04,11.0242741281818,8.417,860.273279533309,93.4447118788051
"10726",2021-08-27 08:28:54,8.29,11.0818181818182,11.0312932918022,8.38209090909091,968.301469248415,94.0110434659493
"10727",2021-08-27 08:43:54,8.28,11.1090909090909,11.0400275395712,8.367,1018.62403364426,93.4447118788051
"10729",2021-08-27 09:13:54,8.3,11.1436363636364,11.0463039199765,8.348,1110.80913237533,94.2942092595215
"10730",2021-08-27 09:28:54,8.3,11.1681818181818,11.0540448508069,8.341,1152.27675161966,94.2942092595215
"10732",2021-08-27 09:58:54,8.3,11.21,11.0613288862062,8.327,1225.07466708245,94.2942092595215
"10733",2021-08-27 10:13:54,8.31,11.23,11.0630396863452,8.325,1256.09310122458,94.8605408466657
"10735",2021-08-27 10:43:54,8.29,11.2636363636364,11.062598998165,8.32663636363636,1306.70508500694,94.0110434659493
"10736",2021-08-27 10:58:54,8.3,11.29,11.0615981602559,8.326,1326.0818153104,94.2942092595215
"10737",2021-08-27 11:13:54,8.31,11.2963636363636,11.0568137533005,8.322,1341.38933346644,94.8605408466657
"10739",2021-08-27 11:43:54,8.3,11.33,11.051317280106,8.325,1359.55213861279,94.2942092595215
"10741",2021-08-27 12:13:54,8.31,11.36,11.0523935420402,8.321,1360.88259589171,94.8605408466657
"10742",2021-08-27 12:28:54,8.33,11.37,11.0546424480546,8.317,1355.21727619439,95.7100382273821
"10743",2021-08-27 12:43:54,8.31,11.38,11.057574780435,8.31481818181818,1345.35792624242,94.8605408466657
"10744",2021-08-27 12:58:54,8.3,11.4054545454545,11.0560841044916,8.316,1331.34678219232,94.2942092595215
"10745",2021-08-27 13:13:54,8.31,11.43,11.0636028323999,8.32290909090909,1313.24386622669,94.8605408466657
"10746",2021-08-27 13:28:54,8.32,11.4472727272727,11.0636702005674,8.33136363636364,1291.12672942216,95.42687243381
"10747",2021-08-27 13:43:54,8.33,11.46,11.0607903723514,8.329,1265.09011951892,95.7100382273821
"10749",2021-08-27 14:13:54,8.32,11.48,11.0709758643613,8.326,1201.72094761752,95.42687243381
"10750",2021-08-27 14:28:54,8.35,11.4809090909091,11.0797207661414,8.324,1164.65985392214,96.8427014016707
"10751",2021-08-27 14:43:54,8.35,11.4990909090909,11.0885512029267,8.313,1124.22106082009,96.8427014016707
"10752",2021-08-27 14:58:54,8.34,11.5054545454545,11.0993026340739,8.29490909090909,1080.57780501277,96.2763698145264
"10753",2021-08-27 15:13:54,8.32,11.51,11.1011101871415,8.27954545454545,1033.91705099719,95.42687243381
"10754",2021-08-27 15:28:54,8.32,11.52,11.1041418697472,8.264,984.438690056918,95.42687243381
"10755",2021-08-27 15:43:54,8.34,11.52,11.1110924889486,8.247,932.354683990121,96.2763698145264
"10756",2021-08-27 15:58:54,8.34,11.53,11.1167835044649,8.239,877.888157071877,96.2763698145264
"10757",2021-08-27 16:13:54,8.34,11.5336363636364,11.1217539717102,8.225,821.27244022221,96.2763698145264
"10758",2021-08-27 16:28:54,8.35,11.53,11.0949235732546,8.20690909090909,762.750071389639,96.8427014016707
"10759",2021-08-27 16:43:54,8.34,11.53,11.0810797101483,8.18854545454546,702.571756596047,96.2763698145264
"10760",2021-08-27 16:58:54,8.33,11.53,11.0736959141893,8.168,640.995295868931,95.7100382273821
"10761",2021-08-27 17:13:54,8.34,11.53,11.0734903120655,8.147,578.284478906239,96.2763698145264
"10763",2021-08-27 17:43:54,8.35,11.53,11.0748024008503,8.09427272727273,450.538082035905,96.8427014016707
"10764",2021-08-27 17:58:54,8.33,11.5318181818182,11.0757524461302,8.069,386.049759991334,95.7100382273821
"10765",2021-08-27 18:13:54,8.33,11.53,11.0760155675015,8.04190909090909,321.519253069423,95.7100382273821
"10766",2021-08-27 18:28:54,8.35,11.53,11.0868564848969,8.015,257.22300622083,96.8427014016707
"10767",2021-08-27 18:43:54,8.35,11.5245454545455,11.0885537179216,7.987,193.436460976215,96.8427014016707
"10768",2021-08-27 18:58:54,8.35,11.53,11.091162748198,7.96,130.432875352079,96.8427014016707
"10770",2021-08-27 19:28:54,8.34,11.52,11.0929314445202,7.91,7.8496884277473,96.2763698145264
"10771",2021-08-27 19:43:54,8.35,11.52,11.0961851377507,7.885,0,96.8427014016707
"10772",2021-08-27 19:58:54,8.36,11.5118181818182,11.1015396845555,7.861,0,97.409032988815
