"Site","DateTime","PT1","PT2","MeanDischarge"
"POKE",2019-06-01 12:30:00,298.334294038817,347.010754035568,322.672524037192
"POKE",2019-06-01 12:45:00,299.897003366225,345.51047127223,322.703737319227
"POKE",2019-06-01 13:00:00,299.115648702521,347.010754035568,323.063201369044
"POKE",2019-06-01 13:15:00,300.678358029928,348.511036798906,324.594697414417
"POKE",2019-06-01 13:30:00,299.897003366225,348.511036798906,324.204020082565
"POKE",2019-06-01 13:45:00,299.115648702521,345.51047127223,322.313059987375
"POKE",2019-06-01 14:00:00,300.678358029928,348.511036798906,324.594697414417
"POKE",2019-06-01 14:15:00,299.897003366225,347.010754035568,323.453878700896
"POKE",2019-06-01 14:30:00,300.678358029928,350.011319562244,325.344838796086
"POKE",2019-06-01 14:45:00,299.115648702521,347.010754035568,323.063201369044
"POKE",2019-06-01 15:00:00,301.459712693632,345.51047127223,323.485091982931
"POKE",2019-06-01 15:15:00,300.678358029928,347.010754035568,323.844556032748
"POKE",2019-06-01 15:30:00,299.897003366225,347.010754035568,323.453878700896
"POKE",2019-06-01 15:45:00,299.897003366225,347.010754035568,323.453878700896
"POKE",2019-06-01 16:00:00,299.897003366225,347.010754035568,323.453878700896
"POKE",2019-06-01 16:15:00,299.115648702521,347.010754035568,323.063201369044
"POKE",2019-06-01 16:30:00,299.115648702521,347.010754035568,323.063201369044
"POKE",2019-06-01 16:45:00,299.897003366225,345.51047127223,322.703737319227
"POKE",2019-06-01 17:00:00,298.334294038817,345.51047127223,321.922382655524
"POKE",2019-06-01 17:15:00,299.115648702521,347.010754035568,323.063201369044
"POKE",2019-06-01 17:30:00,299.897003366225,348.511036798906,324.204020082565
"POKE",2019-06-01 17:45:00,299.897003366225,345.51047127223,322.703737319227
"POKE",2019-06-01 18:00:00,300.678358029928,348.511036798906,324.594697414417
"POKE",2019-06-01 18:15:00,299.897003366225,347.010754035568,323.453878700896
"POKE",2019-06-01 18:30:00,299.115648702521,345.51047127223,322.313059987375
"POKE",2019-06-01 18:45:00,299.115648702521,345.51047127223,322.313059987375
"POKE",2019-06-01 19:00:00,299.897003366225,347.010754035568,323.453878700896
"POKE",2019-06-01 19:15:00,300.678358029928,344.010188508892,322.34427326941
"POKE",2019-06-01 19:30:00,299.897003366225,344.010188508892,321.953595937558
"POKE",2019-06-01 19:45:00,299.115648702521,345.51047127223,322.313059987375
"POKE",2019-06-01 20:00:00,299.115648702521,344.010188508892,321.562918605706
"POKE",2019-06-01 20:15:00,297.552939375114,345.51047127223,321.531705323672
"POKE",2019-06-01 20:30:00,299.897003366225,345.51047127223,322.703737319227
"POKE",2019-06-01 20:45:00,299.897003366225,347.010754035568,323.453878700896
"POKE",2019-06-01 21:00:00,299.897003366225,345.51047127223,322.703737319227
"POKE",2019-06-01 21:15:00,300.678358029928,347.010754035568,323.844556032748
"POKE",2019-06-01 21:30:00,299.115648702521,342.509905745554,320.812777224038
"POKE",2019-06-01 21:45:00,299.897003366225,345.51047127223,322.703737319227
"POKE",2019-06-01 22:00:00,301.459712693632,345.51047127223,323.485091982931
"POKE",2019-06-01 22:15:00,302.241067357336,348.511036798906,325.376052078121
"POKE",2019-06-01 22:30:00,302.241067357336,347.010754035568,324.625910696452
"POKE",2019-06-01 22:45:00,302.241067357336,348.511036798906,325.376052078121
"POKE",2019-06-01 23:00:00,302.241067357336,345.51047127223,323.875769314783
"POKE",2019-06-01 23:15:00,302.241067357336,348.511036798906,325.376052078121
"POKE",2019-06-01 23:30:00,302.241067357336,350.011319562244,326.12619345979
"POKE",2019-06-01 23:45:00,303.022422021039,350.011319562244,326.516870791641
"POKE",2019-06-02 00:00:00,300.678358029928,348.511036798906,324.594697414417
"POKE",2019-06-02 00:15:00,303.022422021039,348.511036798906,325.766729409972
"POKE",2019-06-02 00:30:00,302.241067357336,350.011319562244,326.12619345979
"POKE",2019-06-02 00:45:00,303.022422021039,351.511602325581,327.26701217331
"POKE",2019-06-02 01:00:00,302.241067357336,347.010754035568,324.625910696452
"POKE",2019-06-02 01:15:00,302.241067357336,353.011885088919,327.626476223127
"POKE",2019-06-02 01:30:00,302.241067357336,353.011885088919,327.626476223127
"POKE",2019-06-02 01:45:00,302.241067357336,353.011885088919,327.626476223127
"POKE",2019-06-02 02:00:00,302.241067357336,353.011885088919,327.626476223127
"POKE",2019-06-02 02:15:00,303.022422021039,356.012450615595,329.517436318317
"POKE",2019-06-02 02:30:00,303.803776684743,350.011319562244,326.907548123493
"POKE",2019-06-02 02:45:00,302.241067357336,351.511602325581,326.876334841459
"POKE",2019-06-02 03:00:00,301.459712693632,350.011319562244,325.735516127938
"POKE",2019-06-02 03:15:00,302.241067357336,351.511602325581,326.876334841459
"POKE",2019-06-02 03:30:00,303.022422021039,357.512733378933,330.267577699986
"POKE",2019-06-02 03:45:00,303.803776684743,357.512733378933,330.658255031838
"POKE",2019-06-02 04:00:00,303.803776684743,357.512733378933,330.658255031838
"POKE",2019-06-02 04:15:00,303.022422021039,354.512167852257,328.767294936648
"POKE",2019-06-02 04:30:00,304.585131348447,357.512733378933,331.04893236369
"POKE",2019-06-02 04:45:00,303.022422021039,356.012450615595,329.517436318317
"POKE",2019-06-02 05:00:00,303.803776684743,354.512167852257,329.1579722685
"POKE",2019-06-02 05:15:00,303.803776684743,354.512167852257,329.1579722685
"POKE",2019-06-02 05:30:00,302.241067357336,354.512167852257,328.376617604796
"POKE",2019-06-02 05:45:00,303.022422021039,354.512167852257,328.767294936648
"POKE",2019-06-02 06:00:00,303.803776684743,354.512167852257,329.1579722685
"POKE",2019-06-02 06:15:00,303.022422021039,353.011885088919,328.017153554979
"POKE",2019-06-02 06:30:00,303.803776684743,356.012450615595,329.908113650169
"POKE",2019-06-02 06:45:00,305.36648601215,354.512167852257,329.939326932204
"POKE",2019-06-02 07:00:00,302.241067357336,353.011885088919,327.626476223127
"POKE",2019-06-02 07:15:00,303.803776684743,353.011885088919,328.407830886831
"POKE",2019-06-02 07:30:00,304.585131348447,356.012450615595,330.298790982021
"POKE",2019-06-02 07:45:00,303.803776684743,354.512167852257,329.1579722685
"POKE",2019-06-02 08:00:00,305.36648601215,357.512733378933,331.439609695542
"POKE",2019-06-02 08:15:00,305.36648601215,356.012450615595,330.689468313873
"POKE",2019-06-02 08:30:00,303.803776684743,354.512167852257,329.1579722685
"POKE",2019-06-02 08:45:00,303.022422021039,353.011885088919,328.017153554979
"POKE",2019-06-02 09:00:00,304.585131348447,353.011885088919,328.798508218683
"POKE",2019-06-02 09:15:00,304.585131348447,356.012450615595,330.298790982021
"POKE",2019-06-02 09:30:00,303.022422021039,351.511602325581,327.26701217331
"POKE",2019-06-02 09:45:00,303.022422021039,354.512167852257,328.767294936648
"POKE",2019-06-02 10:00:00,303.022422021039,353.011885088919,328.017153554979
"POKE",2019-06-02 10:15:00,303.022422021039,353.011885088919,328.017153554979
"POKE",2019-06-02 10:30:00,303.022422021039,353.011885088919,328.017153554979
"POKE",2019-06-02 10:45:00,302.241067357336,356.012450615595,329.126758986465
"POKE",2019-06-02 11:00:00,302.241067357336,353.011885088919,327.626476223127
"POKE",2019-06-02 11:15:00,300.678358029928,356.012450615595,328.345404322762
"POKE",2019-06-02 11:30:00,301.459712693632,356.012450615595,328.736081654613
"POKE",2019-06-02 11:45:00,300.678358029928,354.512167852257,327.595262941093
"POKE",2019-06-02 12:00:00,300.678358029928,359.013016142271,329.8456870861
"POKE",2019-06-02 12:15:00,301.459712693632,354.512167852257,327.985940272945
"POKE",2019-06-02 12:30:00,302.241067357336,356.012450615595,329.126758986465
"POKE",2019-06-02 12:45:00,302.241067357336,354.512167852257,328.376617604796
"POKE",2019-06-02 13:00:00,301.459712693632,356.012450615595,328.736081654613
"POKE",2019-06-02 13:15:00,302.241067357336,357.512733378933,329.876900368134
"POKE",2019-06-02 13:30:00,301.459712693632,357.512733378933,329.486223036282
"POKE",2019-06-02 13:45:00,301.459712693632,359.013016142271,330.236364417951
"POKE",2019-06-02 14:00:00,300.678358029928,356.012450615595,328.345404322762
"POKE",2019-06-02 14:15:00,299.897003366225,354.512167852257,327.204585609241
"POKE",2019-06-02 14:30:00,299.897003366225,354.512167852257,327.204585609241
"POKE",2019-06-02 14:45:00,301.459712693632,359.013016142271,330.236364417951
"POKE",2019-06-02 15:00:00,300.678358029928,357.512733378933,329.095545704431
"POKE",2019-06-02 15:15:00,301.459712693632,359.013016142271,330.236364417951
"POKE",2019-06-02 15:30:00,301.459712693632,359.013016142271,330.236364417951
"POKE",2019-06-02 15:45:00,301.459712693632,359.013016142271,330.236364417951
"POKE",2019-06-02 16:00:00,303.022422021039,360.513298905609,331.767860463324
"POKE",2019-06-02 16:15:00,302.241067357336,357.512733378933,329.876900368134
"POKE",2019-06-02 16:30:00,301.459712693632,356.012450615595,328.736081654613
"POKE",2019-06-02 16:45:00,303.022422021039,360.513298905609,331.767860463324
"POKE",2019-06-02 17:00:00,308.491904666965,371.015278248974,339.753591457969
"POKE",2019-06-02 17:15:00,311.61732332178,372.515561012312,342.066442167046
"POKE",2019-06-02 17:30:00,313.180032649187,372.515561012312,342.847796830749
"POKE",2019-06-02 17:45:00,312.398677985483,369.514995485636,340.95683673556
"POKE",2019-06-02 18:00:00,312.398677985483,374.01584377565,343.207260880566
"POKE",2019-06-02 18:15:00,313.180032649187,375.516126538988,344.348079594087
"POKE",2019-06-02 18:30:00,313.96138731289,378.516692065664,346.239039689277
"POKE",2019-06-02 18:45:00,314.742741976594,377.016409302326,345.87957563946
"POKE",2019-06-02 19:00:00,314.742741976594,380.016974829001,347.379858402798
