"Site","DateTime","PT1Q","PT2Q","MeanDischarge"
"FRCH",2019-07-19 06:15:00,147.323906482828,151.125314788473,149.224610635651
"FRCH",2019-07-19 06:30:00,143.602715974948,147.582617600575,145.592666787761
"FRCH",2019-07-19 06:45:00,141.742120721007,144.039920412677,142.891020566842
"FRCH",2019-07-19 07:00:00,145.463311228888,144.039920412677,144.751615820782
"FRCH",2019-07-19 07:15:00,141.742120721007,149.353966194524,145.548043457766
"FRCH",2019-07-19 07:30:00,143.602715974948,144.039920412677,143.821318193812
"FRCH",2019-07-19 07:45:00,141.742120721007,144.039920412677,142.891020566842
"FRCH",2019-07-19 08:00:00,143.602715974948,144.039920412677,143.821318193812
"FRCH",2019-07-19 08:15:00,139.881525467067,145.811269006626,142.846397236847
"FRCH",2019-07-19 08:30:00,141.742120721007,144.039920412677,142.891020566842
"FRCH",2019-07-19 08:45:00,143.602715974948,147.582617600575,145.592666787761
"FRCH",2019-07-19 09:00:00,141.742120721007,144.039920412677,142.891020566842
"FRCH",2019-07-19 09:15:00,143.602715974948,147.582617600575,145.592666787761
"FRCH",2019-07-19 09:30:00,143.602715974948,145.811269006626,144.706992490787
"FRCH",2019-07-19 09:45:00,141.742120721007,144.039920412677,142.891020566842
"FRCH",2019-07-19 10:00:00,141.742120721007,144.039920412677,142.891020566842
"FRCH",2019-07-19 10:15:00,149.184501736768,145.811269006626,147.497885371697
"FRCH",2019-07-19 10:30:00,143.602715974948,145.811269006626,144.706992490787
"FRCH",2019-07-19 10:45:00,145.463311228888,145.811269006626,145.637290117757
"FRCH",2019-07-19 11:00:00,143.602715974948,144.039920412677,143.821318193812
"FRCH",2019-07-19 11:15:00,143.602715974948,144.039920412677,143.821318193812
"FRCH",2019-07-19 11:30:00,138.020930213127,144.039920412677,141.030425312902
"FRCH",2019-07-19 11:45:00,141.742120721007,142.268571818728,142.005346269868
"FRCH",2019-07-19 12:00:00,139.881525467067,142.268571818728,141.075048642898
"FRCH",2019-07-19 12:15:00,139.881525467067,142.268571818728,141.075048642898
"FRCH",2019-07-19 12:30:00,141.742120721007,142.268571818728,142.005346269868
"FRCH",2019-07-19 12:45:00,139.881525467067,142.268571818728,141.075048642898
"FRCH",2019-07-19 13:00:00,138.020930213127,142.268571818728,140.144751015928
"FRCH",2019-07-19 13:15:00,145.463311228888,144.039920412677,144.751615820782
"FRCH",2019-07-19 13:30:00,147.323906482828,147.582617600575,147.453262041702
"FRCH",2019-07-19 13:45:00,141.742120721007,145.811269006626,143.776694863817
"FRCH",2019-07-19 14:00:00,145.463311228888,149.353966194524,147.408638711706
"FRCH",2019-07-19 14:15:00,152.905692244648,152.896663382423,152.901177813535
"FRCH",2019-07-19 14:30:00,149.184501736768,154.668011976372,151.92625685657
"FRCH",2019-07-19 14:45:00,152.905692244648,156.439360570321,154.672526407484
"FRCH",2019-07-19 15:00:00,152.905692244648,154.668011976372,153.78685211051
"FRCH",2019-07-19 15:15:00,156.626882752528,154.668011976372,155.64744736445
"FRCH",2019-07-19 15:30:00,152.905692244648,158.21070916427,155.558200704459
"FRCH",2019-07-19 15:45:00,154.766287498588,161.753406352168,158.259846925378
"FRCH",2019-07-19 16:00:00,152.905692244648,158.21070916427,155.558200704459
"FRCH",2019-07-19 16:15:00,156.626882752528,158.21070916427,157.418795958399
"FRCH",2019-07-19 16:30:00,152.905692244648,158.21070916427,155.558200704459
"FRCH",2019-07-19 16:45:00,156.626882752528,154.668011976372,155.64744736445
"FRCH",2019-07-19 17:00:00,156.626882752528,158.21070916427,157.418795958399
"FRCH",2019-07-19 17:15:00,156.626882752528,158.21070916427,157.418795958399
"FRCH",2019-07-19 17:30:00,156.626882752528,156.439360570321,156.533121661425
"FRCH",2019-07-19 17:45:00,160.348073260409,158.21070916427,159.279391212339
"FRCH",2019-07-19 18:00:00,160.348073260409,161.753406352168,161.050739806288
"FRCH",2019-07-19 18:15:00,154.766287498588,159.982057758219,157.374172628404
"FRCH",2019-07-19 18:30:00,158.487478006468,156.439360570321,157.463419288395
"FRCH",2019-07-19 18:45:00,164.069263768289,163.524754946117,163.797009357203
"FRCH",2019-07-19 19:00:00,160.348073260409,161.753406352168,161.050739806288
"FRCH",2019-07-19 19:15:00,158.487478006468,159.982057758219,159.234767882344
"FRCH",2019-07-19 19:30:00,152.905692244648,152.896663382423,152.901177813535
"FRCH",2019-07-19 19:45:00,154.766287498588,158.21070916427,156.488498331429
"FRCH",2019-07-19 20:00:00,154.766287498588,156.439360570321,155.602824034454
"FRCH",2019-07-19 20:15:00,154.766287498588,156.439360570321,155.602824034454
"FRCH",2019-07-19 20:30:00,160.348073260409,161.753406352168,161.050739806288
"FRCH",2019-07-19 20:45:00,152.905692244648,156.439360570321,154.672526407484
"FRCH",2019-07-19 21:00:00,154.766287498588,158.21070916427,156.488498331429
"FRCH",2019-07-19 21:15:00,156.626882752528,158.21070916427,157.418795958399
"FRCH",2019-07-19 21:30:00,154.766287498588,158.21070916427,156.488498331429
"FRCH",2019-07-19 21:45:00,158.487478006468,159.982057758219,159.234767882344
"FRCH",2019-07-19 22:00:00,158.487478006468,159.982057758219,159.234767882344
"FRCH",2019-07-19 22:15:00,156.626882752528,159.982057758219,158.304470255374
"FRCH",2019-07-19 22:30:00,156.626882752528,159.982057758219,158.304470255374
"FRCH",2019-07-19 22:45:00,158.487478006468,159.982057758219,159.234767882344
"FRCH",2019-07-19 23:00:00,158.487478006468,161.753406352168,160.120442179318
"FRCH",2019-07-19 23:15:00,158.487478006468,161.753406352168,160.120442179318
"FRCH",2019-07-19 23:30:00,156.626882752528,161.753406352168,159.190144552348
"FRCH",2019-07-19 23:45:00,156.626882752528,154.668011976372,155.64744736445
"FRCH",2019-07-20 00:00:00,154.766287498588,158.21070916427,156.488498331429
"FRCH",2019-07-20 00:15:00,154.766287498588,161.753406352168,158.259846925378
"FRCH",2019-07-20 00:30:00,152.905692244648,152.896663382423,152.901177813535
"FRCH",2019-07-20 00:45:00,151.045096990708,154.668011976372,152.85655448354
"FRCH",2019-07-20 01:00:00,151.045096990708,158.21070916427,154.627903077489
"FRCH",2019-07-20 01:15:00,145.463311228888,151.125314788473,148.294313008681
"FRCH",2019-07-20 01:30:00,152.905692244648,152.896663382423,152.901177813535
"FRCH",2019-07-20 01:45:00,151.045096990708,151.125314788473,151.085205889591
"FRCH",2019-07-20 02:00:00,154.766287498588,152.896663382423,153.831475440505
"FRCH",2019-07-20 02:15:00,154.766287498588,152.896663382423,153.831475440505
"FRCH",2019-07-20 02:30:00,151.045096990708,149.353966194524,150.199531592616
"FRCH",2019-07-20 02:45:00,149.184501736768,149.353966194524,149.269233965646
"FRCH",2019-07-20 03:00:00,147.323906482828,147.582617600575,147.453262041702
"FRCH",2019-07-20 03:15:00,145.463311228888,147.582617600575,146.522964414731
"FRCH",2019-07-20 03:30:00,147.323906482828,151.125314788473,149.224610635651
"FRCH",2019-07-20 03:45:00,152.905692244648,147.582617600575,150.244154922612
"FRCH",2019-07-20 04:00:00,145.463311228888,149.353966194524,147.408638711706
"FRCH",2019-07-20 04:15:00,145.463311228888,147.582617600575,146.522964414731
"FRCH",2019-07-20 04:30:00,147.323906482828,147.582617600575,147.453262041702
"FRCH",2019-07-20 04:45:00,147.323906482828,147.582617600575,147.453262041702
"FRCH",2019-07-20 05:00:00,145.463311228888,149.353966194524,147.408638711706
"FRCH",2019-07-20 05:15:00,145.463311228888,147.582617600575,146.522964414731
"FRCH",2019-07-20 05:30:00,143.602715974948,145.811269006626,144.706992490787
"FRCH",2019-07-20 05:45:00,143.602715974948,144.039920412677,143.821318193812
"FRCH",2019-07-20 06:00:00,141.742120721007,144.039920412677,142.891020566842
"FRCH",2019-07-20 06:15:00,139.881525467067,140.497223224779,140.189374345923
"FRCH",2019-07-20 06:30:00,139.881525467067,144.039920412677,141.960722939872
"FRCH",2019-07-20 06:45:00,143.602715974948,142.268571818728,142.935643896838
"FRCH",2019-07-20 07:00:00,141.742120721007,140.497223224779,141.119671972893
"FRCH",2019-07-20 07:15:00,139.881525467067,138.72587463083,139.303700048948
"FRCH",2019-07-20 07:30:00,139.881525467067,140.497223224779,140.189374345923
"FRCH",2019-07-20 07:45:00,134.299739705247,136.954526036881,135.627132871064
"FRCH",2019-07-20 08:00:00,134.299739705247,138.72587463083,136.512807168038
"FRCH",2019-07-20 08:15:00,134.299739705247,135.183177442932,134.741458574089
"FRCH",2019-07-20 08:30:00,134.299739705247,140.497223224779,137.398481465013
"FRCH",2019-07-20 08:45:00,136.160334959187,136.954526036881,136.557430498034
"FRCH",2019-07-20 09:00:00,132.439144451307,138.72587463083,135.582509541068
"FRCH",2019-07-20 09:15:00,139.881525467067,138.72587463083,139.303700048948
