"","date","GPP.daily","GPP.daily.sd","ER.daily","ER.daily.sd","K600.daily","K600.daily.sd","warnings","errors"
"41",2021-06-27,3.69232551183967,0.264518245378391,-4.21896348604106,0.3616572264284,4.11463868639767,0.346521294460914,"overall warnings",""
"42",2021-06-28,3.62976793758006,0.243750103705662,-4.62121655403829,0.364532067777473,3.49615783009859,0.379342999596731,"overall warnings",""
"43",2021-06-29,3.33071828127225,0.284570303191318,-4.00841266765821,0.416622241873366,3.72901579350194,0.390869724850258,"overall warnings",""
"44",2021-06-30,3.90405861986883,0.266724706240996,-4.79619754067862,0.361008349845103,4.98859966016653,0.330075842464961,"overall warnings",""
"45",2021-07-01,5.0150386133642,0.360015674601812,-6.72441848836744,0.453662010026324,6.01112720355879,0.378249679960785,"overall warnings",""
"46",2021-07-02,3.47797445504679,0.293664952339725,-4.66193118151016,0.444749948576792,4.48774868781651,0.382704918377111,"overall warnings",""
"47",2021-07-03,4.0265629557609,0.281235201177679,-5.50982241324406,0.390366607296236,5.24960837799956,0.395207088065062,"overall warnings",""
"48",2021-07-04,4.35038488682775,0.270077831190552,-5.02935622038586,0.369343099389944,5.10089358161779,0.359242072351131,"overall warnings",""
"49",2021-07-05,2.77342717564581,0.211254541032192,-4.27736772640062,0.345602372545599,4.12632481298534,0.390741901179162,"overall warnings",""
"50",2021-07-06,2.56540175095063,0.293764386955028,-3.81216333293984,0.526050540520067,3.83540144324645,0.51324851704952,"overall warnings",""
"51",2021-07-07,2.65501334044328,0.268555578075662,-3.90347833476426,0.416057520242452,4.5518889440885,0.391151866562818,"overall warnings",""
"52",2021-07-08,2.93412900098703,0.316559816822813,-4.916751429927,0.506527616117251,5.35452701093631,0.482404554889509,"overall warnings",""
"53",2021-07-09,2.15154660117274,0.229480833118672,-3.7717701823804,0.360379907252435,4.12362831248062,0.36177090183612,"overall warnings",""
"54",2021-07-10,3.3318587217438,0.312334116567461,-4.8558959585456,0.468960701390541,5.60518047643809,0.405515914629884,"overall warnings",""
"55",2021-07-11,3.23682101069234,0.24400542694707,-4.19485067144076,0.336577425549518,4.44513000338246,0.339333591760451,"overall warnings",""
"56",2021-07-12,3.49848090982749,0.269335260272314,-4.44501432435016,0.348651654536688,4.42464605377046,0.321006586861827,"overall warnings",""
"57",2021-07-13,4.36904273154504,0.347416384043897,-5.46805009298752,0.500794196890534,4.14713288748526,0.411537796414768,"overall warnings",""
"58",2021-07-14,2.31115899283476,0.278225482013442,-4.07224405351244,0.556287773575906,4.30399430168615,0.553131703602461,"overall warnings",""
"59",2021-07-15,4.13052177976103,0.366940311972728,-3.88807856376876,0.380589146666914,5.29359218787368,0.428929578281681,"overall warnings",""
"60",2021-07-16,4.0034442421295,0.308498966486681,-4.22637042319376,0.371626201420578,5.42671160983108,0.394310148263482,"overall warnings",""
"61",2021-07-17,3.93139957948823,0.26316607497175,-4.0762437799724,0.347914976998847,4.11261246969902,0.339370990929717,"overall warnings",""
"62",2021-07-18,4.05957641186021,0.282020566610294,-4.08267440606555,0.373864653357538,5.49877447830466,0.387854256737561,"overall warnings",""
"63",2021-07-19,4.62815382916663,0.314714332802384,-4.99646597717138,0.373203140689936,5.1343362620563,0.375162831869928,"overall warnings",""
"64",2021-07-20,4.71136387309637,0.337217729227439,-5.96236085610475,0.457955393546086,4.88358755018812,0.391445585610928,"overall warnings",""
"65",2021-07-21,4.33404676479475,0.307913711611177,-5.95365524299822,0.435847224059318,4.88193614600539,0.374557038899146,"overall warnings",""
"66",2021-07-22,4.20466089221113,0.261009704201428,-5.59948815842296,0.389765384596834,4.12742763215264,0.308541646545133,"overall warnings",""
"67",2021-07-23,3.40952154272143,0.2100086017437,-5.5510811674234,0.460820860271463,4.06079271993557,0.366675169606246,"overall warnings",""
"68",2021-07-24,3.80621163914604,0.2745368890989,-4.81169378250883,0.433497757988447,5.46250313451697,0.409321628320965,"overall warnings",""
"69",2021-07-25,3.90266389025764,0.294464878620309,-5.19296655968757,0.443513846253638,5.67191620278621,0.395561369998464,"overall warnings",""
"70",2021-07-26,3.36545508886833,0.268541123687773,-4.47028900822613,0.39939878931703,4.10273388177392,0.374424844875806,"overall warnings",""
"71",2021-07-27,3.49389187692305,0.239047945184256,-4.72487366657772,0.376167652815519,4.30889938735413,0.339817262818024,"overall warnings",""
"72",2021-07-28,3.79635156879432,0.263534463117724,-4.97935018536197,0.411299596780553,5.46087745229132,0.390123760544018,"overall warnings",""
"73",2021-07-29,2.68039934806797,0.219346791449848,-2.80279115716553,0.332377545137512,3.66409148813861,0.337213646653165,"overall warnings",""
"74",2021-07-30,3.21462109765258,0.268433831035695,-4.17110604370598,0.382199932216512,4.9978031546369,0.358157872023126,"overall warnings",""
"75",2021-07-31,3.37031165938991,0.237327826780403,-4.10468703199529,0.34817974679559,4.31825668391076,0.341142780943837,"overall warnings",""
"76",2021-08-01,4.45214809088097,0.308940202514964,-5.21773537325995,0.395071956168288,4.64548081779501,0.35625469941688,"overall warnings",""
"77",2021-08-02,4.57096903080398,0.331501268920165,-4.8875759478567,0.42981335787381,4.58544310606146,0.328760772110322,"overall warnings",""
"78",2021-08-03,3.94922536079786,0.293646889624872,-4.80270569047938,0.40780130542727,4.22719602651437,0.320264000369499,"overall warnings",""
"79",2021-08-04,4.60059340325482,0.276110227359504,-5.81519647177516,0.397268610798266,4.72969117536951,0.350876934568077,"overall warnings",""
"80",2021-08-05,3.7705696741867,0.2375011368658,-4.88402346186093,0.348919629781444,3.68686782187352,0.26858862263482,"overall warnings",""
