"date","GPP","GPP.lower","GPP.upper","ER","ER.lower","ER.upper","msgs.fit","warnings","errors"
2019-06-03,0.0223019050315322,0.000404409412929897,0.103483808606706,-4.89196040352578,-7.26926896224674,-2.86855830891329,"w      ","",""
2019-06-04,0.0520312509806197,0.00176860386324467,0.25910384321573,-8.76323125602594,-10.5391470543118,-6.49785233724237,"w      ","",""
2019-06-05,0.529234559424373,0.0834877225052357,1.16331014535509,-7.45225301302601,-9.79678421374526,-5.91106454269406,"w      ","",""
2019-06-06,0.821207642598871,0.196875458683367,1.46352270819307,-6.28302284289024,-8.21831418516264,-4.34927340738709,"w      ","",""
2019-06-07,1.15597780450237,0.56425751892458,1.74694918179148,-5.38539484929714,-6.87194365063726,-3.89948706101604,"w      ","",""
2019-06-08,1.25522187308841,0.723124243221298,1.95264747936308,-5.0343573611699,-6.79920664408499,-3.48185178751318,"w      ","",""
2019-06-09,1.49891868577433,0.874481339442899,2.11288768843312,-4.68637381687928,-6.03544061019405,-3.24688007077089,"w      ","",""
2019-06-10,2.33838484765226,1.4211373501543,3.25216596657186,-5.32867020993317,-6.88783324126855,-3.78109293649374,"w      ","",""
2019-06-11,2.00900807293365,1.21190533945937,2.80381660768664,-4.28373359076685,-5.71182961357528,-2.88800419107869,"w      ","",""
2019-06-12,3.74680411740707,2.7352296907396,4.55955044559237,-5.90129611279829,-7.14287348953604,-4.58116195799285,"w      ","",""
2019-06-13,NA,NA,NA,NA,NA,NA,"w     E","",""
2019-06-14,3.45630921348216,2.70118637514603,4.32012629509165,-4.47097116682364,-5.6539666906692,-3.45946985626295,"w      ","",""
2019-06-15,4.45688351738074,3.61587272376166,5.20529308654115,-5.9033606153489,-6.95937361089787,-4.75402432917646,"w      ","",""
2019-06-16,4.06448168591121,3.11787876108849,4.92988062585405,-6.12697120848168,-7.43725311589388,-4.71389811471351,"w      ","",""
2019-06-17,3.01724995087385,2.41880434590275,3.60824269727661,-4.14723603289105,-4.99140501467539,-3.30676002609662,"w      ","",""
2019-06-18,NA,NA,NA,NA,NA,NA,"w     E","",""
2019-06-19,4.55455665331781,3.43116658298989,5.57089285671671,-9.48310025548091,-11.3276419684822,-7.42469731172157,"w      ","",""
2019-06-20,6.28662881103857,5.37629148810666,7.04888316160954,-12.4976279745997,-14.0076076319153,-10.7748792179699,"w      ","",""
2019-06-21,0.048272601452293,0.00230820228212406,0.256004013123449,-8.9467037058973,-11.6588797939235,-6.38104469477124,"w      ","",""
2019-06-22,1.7929801098767,1.11307002284484,2.53218345691084,-9.40890368024631,-11.9342124331962,-7.26110748259348,"w      ","",""
2019-06-23,0.149790288892212,0.0109660404824901,0.491434727551773,-11.7024721849837,-15.1334749560518,-8.68787429736754,"w      ","",""
2019-06-24,1.0628332506125,0.333171652007296,1.8259635328508,-8.70497409774102,-11.4212665978285,-5.63531649662902,"w      ","",""
2019-06-25,1.32712185613442,0.539335321725199,2.03517029718655,-6.06390449034481,-7.78127373422959,-3.97338181704443,"w      ","",""
2019-06-26,2.05384511837859,1.07467541475344,2.96570473064895,-6.54676838656146,-8.44371995942468,-4.3793489364784,"w      ","",""
2019-06-27,NA,NA,NA,NA,NA,NA,"w     E","",""
2019-06-28,2.90328359065731,2.02021198887653,3.90860869916439,-5.93581893016463,-7.62873209174496,-4.37182718750115,"w      ","",""
2019-06-29,3.86772488205793,2.76125590957494,4.93758385514778,-6.20096863974842,-7.74944120033907,-4.54308263064603,"w      ","",""
2019-06-30,3.85021606039381,3.02793590229375,4.65200606539681,-6.14389685365522,-7.42082586835997,-4.87850515501821,"w      ","",""
2019-07-01,3.63067453926648,2.83990193524153,4.55511862868524,-5.36193025669462,-6.7639426077839,-4.18132210772842,"w      ","",""
2019-07-02,3.26647755883656,2.34379061649468,4.25499990419551,-3.86629879257461,-5.06876445792955,-2.76675303900407,"w      ","",""
2019-07-03,4.86761296054228,3.90739910610921,5.79811446231179,-4.99478749103035,-6.08233848216831,-3.95693542674994,"w      ","",""
2019-07-04,4.49051372061863,3.60367389128206,5.36423141208756,-4.6285698800112,-5.65249980480628,-3.50911349621698,"w      ","",""
2019-07-05,5.35417126431,4.01040825091839,6.47303918894875,-5.32947381057804,-6.47336036031919,-3.92353827515001,"w      ","",""
2019-07-06,4.90001111749063,4.18815108678995,5.56212147502754,-3.96880342540854,-4.68702134847227,-3.12205858162212,"w      ","",""
2019-07-07,8.51095142291314,7.10305244583431,9.5560257738445,-6.58226256371707,-7.55546346144848,-5.29872418622444,"w      ","",""
2019-07-08,8.65999215673953,7.06988254496901,9.96271897854007,-6.56627368206939,-7.7415222982768,-5.22038241453236,"w      ","",""
2019-07-09,8.76502703908579,7.47165238231968,10.2671626387713,-5.96234735639186,-7.17175953966876,-4.94299485170035,"w      ","",""
2019-07-10,10.3506777571328,9.23932278993935,11.8132264598083,-6.54074157836186,-7.62700688719104,-5.60609409471848,"w      ","",""
2019-07-11,10.6777364648023,9.42557592669392,11.7595019545124,-8.27354569489743,-9.29958324650552,-7.15506064184836,"w      ","",""
2019-07-12,NA,NA,NA,NA,NA,NA,"w     E","",""
2019-07-13,5.80960056125622,4.7524697074246,6.90367816928322,-5.77846592874416,-6.98899223639845,-4.75397412362721,"w      ","",""
2019-07-14,8.29227111785203,6.93740844891659,9.35577705612933,-6.60272507939157,-7.47352247014439,-5.33318636718238,"w      ","",""
2019-07-15,8.81332506660976,7.90470343710916,9.71527555283234,-6.04189503878454,-6.92811369366654,-5.08205878971198,"w      ","",""
2019-07-16,1.22669129542378,0.504839943459895,2.09708380729823,-1.35210032492029,-2.45023960053693,-0.474815234932608,"w      ","",""
2019-07-17,7.00770529084766,5.92183485701022,7.91304654633996,-5.64015265888128,-6.54641675829329,-4.66763641018425,"w      ","",""
2019-07-18,5.31780531336115,4.13200682434362,6.31413867822587,-3.53341582664391,-4.4044732087714,-2.47651848459412,"w      ","",""
2019-07-19,NA,NA,NA,NA,NA,NA,"w     E","",""
2019-07-20,4.82176979979314,3.89220173393212,5.71014636377873,-4.16311516581672,-5.06654365809201,-3.23050176985572,"w      ","",""
2019-07-21,5.4143498528369,4.50678759769174,6.43841259013747,-3.73747135174418,-4.64289194753946,-2.82989818049182,"w      ","",""
2019-07-22,4.96367951774751,3.98838298012865,5.98777716225807,-4.20276335593869,-5.19296137354695,-3.26505062244074,"w      ","",""
2019-07-23,5.89234256098988,5.06894605085963,6.61226221800758,-4.65665018842849,-5.4023099381199,-3.92546193325795,"w      ","",""
2019-07-24,5.0817195290325,4.24735742798724,5.82729778339409,-4.06233196228327,-4.89273749788394,-3.30394113944631,"w      ","",""
2019-07-25,3.42544835087941,2.87952836655895,3.93903912424754,-3.21960959405271,-3.93557304438168,-2.53997715218788,"w      ","",""
2019-07-26,NA,NA,NA,NA,NA,NA,"w     E","",""
2019-07-27,3.99551972713417,3.0935362428352,4.82317805148791,-4.59128499198837,-5.61457223642099,-3.41202812180341,"w      ","",""
